STATION,NAME,DATE,PRCP,TAVG
RPM00098134,"BASCO RADAR, RP",12/04/2022,0,76
RPM00098134,"BASCO RADAR, RP",13/04/2022,,77
RPM00098134,"BASCO RADAR, RP",14/04/2022,,77
RPM00098134,"BASCO RADAR, RP",15/04/2022,,75
RPM00098134,"BASCO RADAR, RP",16/04/2022,,74
RPM00098134,"BASCO RADAR, RP",17/04/2022,0.11,73
RPM00098134,"BASCO RADAR, RP",18/04/2022,0.11,75
RPM00098134,"BASCO RADAR, RP",19/04/2022,0.13,75
RPM00098134,"BASCO RADAR, RP",20/04/2022,0.18,77
RPM00098134,"BASCO RADAR, RP",21/04/2022,0,79
RPM00098134,"BASCO RADAR, RP",22/04/2022,0.02,81
RPM00098134,"BASCO RADAR, RP",23/04/2022,0,80
RPM00098134,"BASCO RADAR, RP",24/04/2022,,80
RPM00098134,"BASCO RADAR, RP",25/04/2022,0.03,80
RPM00098134,"BASCO RADAR, RP",26/04/2022,0,82
RPM00098134,"BASCO RADAR, RP",27/04/2022,,81
RPM00098134,"BASCO RADAR, RP",28/04/2022,,81
RPM00098134,"BASCO RADAR, RP",29/04/2022,,81
RPM00098134,"BASCO RADAR, RP",30/04/2022,,81
RPM00098134,"BASCO RADAR, RP",01/05/2022,,80
RPM00098134,"BASCO RADAR, RP",02/05/2022,,76
RPM00098134,"BASCO RADAR, RP",03/05/2022,1.01,74
RPM00098134,"BASCO RADAR, RP",04/05/2022,,77
RPM00098134,"BASCO RADAR, RP",05/05/2022,,79
RPM00098134,"BASCO RADAR, RP",06/05/2022,0.5,80
RPM00098134,"BASCO RADAR, RP",07/05/2022,0.03,81
RPM00098134,"BASCO RADAR, RP",08/05/2022,0,80
RPM00098134,"BASCO RADAR, RP",09/05/2022,0.52,82
RPM00098134,"BASCO RADAR, RP",10/05/2022,0,81
RPM00098134,"BASCO RADAR, RP",11/05/2022,0,82
RPM00098134,"BASCO RADAR, RP",12/05/2022,0,82
RPM00098134,"BASCO RADAR, RP",13/05/2022,,83
RPM00098134,"BASCO RADAR, RP",14/05/2022,,83
RPM00098134,"BASCO RADAR, RP",15/05/2022,,82
RPM00098134,"BASCO RADAR, RP",16/05/2022,,79
RPM00098134,"BASCO RADAR, RP",17/05/2022,,77
RPM00098134,"BASCO RADAR, RP",18/05/2022,,76
RPM00098134,"BASCO RADAR, RP",19/05/2022,,77
RPM00098134,"BASCO RADAR, RP",20/05/2022,,77
RPM00098134,"BASCO RADAR, RP",21/05/2022,,79
RPM00098134,"BASCO RADAR, RP",22/05/2022,,79
RPM00098134,"BASCO RADAR, RP",23/05/2022,,80
RPM00098134,"BASCO RADAR, RP",24/05/2022,,81
RPM00098134,"BASCO RADAR, RP",25/05/2022,,80
RPM00098134,"BASCO RADAR, RP",26/05/2022,,82
RPM00098134,"BASCO RADAR, RP",27/05/2022,0.25,83
RPM00098134,"BASCO RADAR, RP",28/05/2022,0,83
RPM00098134,"BASCO RADAR, RP",29/05/2022,,83
RPM00098134,"BASCO RADAR, RP",30/05/2022,1.17,81
RPM00098134,"BASCO RADAR, RP",31/05/2022,0,83
RPM00098134,"BASCO RADAR, RP",01/06/2022,,83
RPM00098134,"BASCO RADAR, RP",02/06/2022,,83
RPM00098134,"BASCO RADAR, RP",03/06/2022,,82
RPM00098134,"BASCO RADAR, RP",04/06/2022,,82
RPM00098134,"BASCO RADAR, RP",05/06/2022,,83
RPM00098134,"BASCO RADAR, RP",06/06/2022,,83
RPM00098134,"BASCO RADAR, RP",07/06/2022,,83
RPM00098134,"BASCO RADAR, RP",08/06/2022,,83
RPM00098134,"BASCO RADAR, RP",09/06/2022,,82
RPM00098134,"BASCO RADAR, RP",10/06/2022,,83
RPM00098134,"BASCO RADAR, RP",11/06/2022,,84
RPM00098134,"BASCO RADAR, RP",12/06/2022,,84
RPM00098134,"BASCO RADAR, RP",13/06/2022,,84
RPM00098134,"BASCO RADAR, RP",14/06/2022,,83
RPM00098134,"BASCO RADAR, RP",15/06/2022,,84
RPM00098134,"BASCO RADAR, RP",16/06/2022,,83
RPM00098134,"BASCO RADAR, RP",17/06/2022,,84
RPM00098134,"BASCO RADAR, RP",18/06/2022,,83
RPM00098134,"BASCO RADAR, RP",19/06/2022,,83
RPM00098134,"BASCO RADAR, RP",20/06/2022,,84
RPM00098134,"BASCO RADAR, RP",21/06/2022,,85
RPM00098134,"BASCO RADAR, RP",22/06/2022,0.08,83
RPM00098134,"BASCO RADAR, RP",23/06/2022,0.28,82
RPM00098134,"BASCO RADAR, RP",24/06/2022,0.29,83
RPM00098134,"BASCO RADAR, RP",25/06/2022,0.03,82
RPM00098134,"BASCO RADAR, RP",26/06/2022,0.23,83
RPM00098134,"BASCO RADAR, RP",27/06/2022,0.33,81
RPM00098134,"BASCO RADAR, RP",28/06/2022,0.46,80
RPM00098134,"BASCO RADAR, RP",29/06/2022,0.28,79
RPM00098134,"BASCO RADAR, RP",30/06/2022,0.07,82
RPM00098134,"BASCO RADAR, RP",01/07/2022,0.11,79
RPM00098134,"BASCO RADAR, RP",02/07/2022,0.9,82
RPM00098134,"BASCO RADAR, RP",03/07/2022,0,81
RPM00098134,"BASCO RADAR, RP",04/07/2022,0.54,83
RPM00098134,"BASCO RADAR, RP",05/07/2022,1.23,82
RPM00098134,"BASCO RADAR, RP",06/07/2022,0,82
RPM00098134,"BASCO RADAR, RP",07/07/2022,0.01,82
RPM00098134,"BASCO RADAR, RP",08/07/2022,0.08,83
RPM00098134,"BASCO RADAR, RP",09/07/2022,0,84
